load_SE,price_SE,flows_SE_Finland,flows_SE_Norway,flows_SE_Denmark,load_Finland,load_Norway,load_Germany,load_Denmark,hydro_storage_SE,date
7877.0,34.91,1207.0,803.0,157.0,8284.0,3043.0,40136.5,1983.0,1724000.0,2022-10-31 23:00:00
7673.0,34.91,1207.0,1229.0,0.0,8116.0,2923.0,39444.0,1950.0,1724000.0,2022-11-01 00:00:00
7504.0,35.31,1208.0,1285.0,0.0,8038.0,2861.0,39040.5,1948.0,1724000.0,2022-11-01 01:00:00
7471.0,36.11,1209.0,1265.0,0.0,8027.0,2865.0,39132.25,2000.0,1724000.0,2022-11-01 02:00:00
7518.0,37.83,1202.0,1240.0,0.0,8252.0,2855.0,40332.75,2036.0,1724000.0,2022-11-01 03:00:00
7878.0,48.82,1202.0,712.0,8.0,8880.0,2998.0,42189.5,2280.0,1724000.0,2022-11-01 04:00:00
8795.0,59.95,837.0,320.0,376.0,9163.0,3442.0,45796.0,2483.0,1724000.0,2022-11-01 05:00:00
9563.0,77.99,805.0,396.0,153.0,9191.0,3937.0,48417.75,2716.0,1724000.0,2022-11-01 06:00:00
9799.0,84.4,805.0,378.0,85.0,9204.0,4060.0,51505.25,2833.0,1724000.0,2022-11-01 07:00:00
9812.0,67.65,805.0,572.0,44.0,9193.0,4082.0,52345.75,2867.0,1724000.0,2022-11-01 08:00:00
9848.0,57.18,805.0,597.0,309.0,9169.0,4016.0,53665.5,2922.0,1724000.0,2022-11-01 09:00:00
9886.0,48.91,805.0,498.0,420.0,9093.0,3984.0,55653.75,2936.0,1724000.0,2022-11-01 10:00:00
9860.0,38.84,805.0,386.0,89.0,9046.0,3960.0,55442.5,2979.0,1724000.0,2022-11-01 11:00:00
9935.0,41.24,805.0,227.0,44.0,8997.0,3943.0,53753.0,2940.0,1724000.0,2022-11-01 12:00:00
9876.0,68.89,811.0,483.0,37.0,9048.0,3929.0,52045.25,2834.0,1724000.0,2022-11-01 13:00:00
10006.0,80.0,869.0,841.0,25.0,9240.0,4002.0,51586.75,2884.0,1724000.0,2022-11-01 14:00:00
10357.0,87.24,1048.0,652.0,6.0,9478.0,4113.0,52061.0,2856.0,1724000.0,2022-11-01 15:00:00
10593.0,111.75,1060.0,241.0,409.0,9444.0,4122.0,55861.0,2965.0,1724000.0,2022-11-01 16:00:00
10396.0,121.73,1107.0,188.0,583.0,9418.0,4005.0,56815.25,2927.0,1724000.0,2022-11-01 17:00:00
9899.0,99.63,1147.0,854.0,126.0,9216.0,3930.0,55242.25,2780.0,1724000.0,2022-11-01 18:00:00
9496.0,82.17,1207.0,1464.0,0.0,8891.0,3814.0,52548.75,2654.0,1724000.0,2022-11-01 19:00:00
8979.0,35.0,1207.0,1606.0,0.0,8959.0,3654.0,49777.75,2541.0,1724000.0,2022-11-01 20:00:00
8437.0,31.35,1207.0,1657.0,0.0,8719.0,3431.0,47699.5,2356.0,1724000.0,2022-11-01 21:00:00
7958.0,24.11,1207.0,1435.0,0.0,8438.0,3202.0,45108.5,2257.0,1724000.0,2022-11-01 22:00:00
7640.0,26.19,1207.0,1270.0,0.0,8210.0,3022.0,43192.25,2283.0,1724000.0,2022-11-01 23:00:00
7336.0,23.76,1206.0,1278.0,0.0,8050.0,2954.0,41957.25,2212.0,1724000.0,2022-11-02 00:00:00
7377.0,17.38,1207.0,1286.0,0.0,8007.0,2869.0,41102.5,2190.0,1724000.0,2022-11-02 01:00:00
7331.0,15.66,1207.0,1426.0,0.0,8067.0,2836.0,41642.75,2126.0,1724000.0,2022-11-02 02:00:00
7430.0,20.2,1207.0,1173.0,0.0,8320.0,2823.0,43531.0,2104.0,1724000.0,2022-11-02 03:00:00
7839.0,29.29,1207.0,1075.0,0.0,8866.0,2916.0,47867.25,2160.0,1724000.0,2022-11-02 04:00:00
8828.0,34.9,1207.0,1282.0,0.0,9243.0,3372.0,56156.0,2437.0,1724000.0,2022-11-02 05:00:00
9648.0,39.64,1207.0,1176.0,0.0,9230.0,3854.0,61505.0,2751.0,1724000.0,2022-11-02 06:00:00
9925.0,52.88,1207.0,1052.0,0.0,9274.0,3863.0,63768.5,2852.0,1724000.0,2022-11-02 07:00:00
9962.0,69.91,1207.0,1012.0,0.0,9160.0,3832.0,63999.0,2865.0,1724000.0,2022-11-02 08:00:00
9979.0,45.95,1207.0,938.0,0.0,9304.0,3902.0,65006.0,2946.0,1724000.0,2022-11-02 09:00:00
10071.0,42.58,1207.0,691.0,0.0,9389.0,3881.0,65826.0,2918.0,1724000.0,2022-11-02 10:00:00
9850.0,39.94,1207.0,1062.0,0.0,9345.0,3851.0,65025.75,2807.0,1724000.0,2022-11-02 11:00:00
9720.0,51.4,1207.0,1079.0,0.0,9322.0,3913.0,63735.75,2793.0,1724000.0,2022-11-02 12:00:00
9713.0,69.94,1207.0,977.0,0.0,9368.0,3859.0,62406.0,2721.0,1724000.0,2022-11-02 13:00:00
9782.0,89.11,1207.0,518.0,270.0,9532.0,3882.0,62249.25,2827.0,1724000.0,2022-11-02 14:00:00
10156.0,97.84,1207.0,7.0,474.0,9709.0,4009.0,62940.25,2855.0,1724000.0,2022-11-02 15:00:00
10242.0,139.17,1207.0,0.0,200.0,9656.0,4034.0,65415.75,3017.0,1724000.0,2022-11-02 16:00:00
10024.0,136.07,1207.0,169.0,144.0,9628.0,3965.0,64999.25,2801.0,1724000.0,2022-11-02 17:00:00
9747.0,101.4,1207.0,248.0,495.0,9404.0,3899.0,63687.25,2789.0,1724000.0,2022-11-02 18:00:00
9385.0,69.98,1125.0,397.0,694.0,9039.0,3817.0,60129.25,2639.0,1724000.0,2022-11-02 19:00:00
