temperature_2m,precipitation,snow_depth,pressure_msl,cloud_cover,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,date,hour,city
9.165,0.0,0.0,1017.1,100.0,9.114471,17.698677,260.9098,274.66678,2022-11-01,0,Stockholm
8.764999,0.0,0.0,1017.2,100.0,8.427383,16.62249,250.0168,265.03033,2022-11-01,1,Stockholm
8.615,0.0,0.0,1017.2,100.0,8.427383,16.454008,250.0168,259.91946,2022-11-01,2,Stockholm
8.565,0.0,0.0,1017.1,100.0,8.759178,17.283749,260.53775,268.80655,2022-11-01,3,Stockholm
8.365,0.0,0.0,1016.9,100.0,8.64,17.106628,270.0,278.47107,2022-11-01,4,Stockholm
8.315,0.0,0.0,1016.8,100.0,7.928178,15.39184,272.6025,280.78424,2022-11-01,5,Stockholm
8.214999,0.0,0.0,1016.8,100.0,7.5685663,14.869351,267.27374,276.95285,2022-11-01,6,Stockholm
8.264999,0.0,0.0,1017.1,100.0,9.255571,16.516901,283.49576,286.46008,2022-11-01,7,Stockholm
8.315,0.0,0.0,1017.1,100.0,9.346143,15.141414,285.6423,288.00424,2022-11-01,8,Stockholm
8.565,0.0,0.0,1017.0,100.0,8.311245,11.542478,274.96964,273.57626,2022-11-01,9,Stockholm
8.764999,0.0,0.0,1016.7,100.0,6.6185193,8.557102,247.61981,247.75093,2022-11-01,10,Stockholm
9.115,0.0,0.0,1016.3,100.0,5.3517847,7.145796,222.27362,220.91429,2022-11-01,11,Stockholm
9.764999,0.0,0.0,1016.1,100.0,5.991594,8.587338,212.73521,213.02386,2022-11-01,12,Stockholm
9.964999,0.0,0.0,1015.5,100.0,6.151683,8.557102,200.55612,202.24907,2022-11-01,13,Stockholm
9.665,0.0,0.0,1015.2,100.0,4.1046314,6.519877,164.74483,173.6599,2022-11-01,14,Stockholm
8.565,0.0,0.0,1015.2,100.0,8.534353,14.84318,152.35411,165.96373,2022-11-01,15,Stockholm
8.065,0.0,0.0,1015.1,100.0,9.107359,15.683776,161.56496,170.75397,2022-11-01,16,Stockholm
7.8650002,0.0,0.0,1014.9,100.0,6.297428,11.592894,120.963684,143.84172,2022-11-01,17,Stockholm
7.965,0.0,0.0,1014.3,100.0,8.854829,17.072504,116.56499,132.43619,2022-11-01,18,Stockholm
8.714999,0.0,0.0,1014.1,100.0,9.726664,19.67195,128.991,145.43741,2022-11-01,19,Stockholm
9.264999,0.6,0.0,1013.8,100.0,10.144082,20.037485,152.52565,162.21602,2022-11-01,20,Stockholm
9.464999,0.1,0.0,1013.6,100.0,8.891344,17.294992,158.62932,182.3859,2022-11-01,21,Stockholm
9.315,0.4,0.0,1013.1,100.0,11.298495,21.41319,157.52052,163.39294,2022-11-01,22,Stockholm
9.365,0.1,0.0,1012.7,100.0,13.202726,25.212852,168.9965,170.13426,2022-11-01,23,Stockholm
9.514999,0.1,0.0,1012.7,100.0,12.57426,23.795427,166.75948,169.54015,2022-11-02,0,Stockholm
9.815,0.0,0.0,1012.4,100.0,10.390226,19.852295,165.96373,175.84044,2022-11-02,1,Stockholm
10.065,0.0,0.0,1012.2,100.0,9.3876505,18.584509,175.60138,188.91484,2022-11-02,2,Stockholm
9.764999,0.0,0.0,1012.1,100.0,7.968939,16.263872,198.43504,207.69939,2022-11-02,3,Stockholm
9.214999,0.0,0.0,1012.1,90.0,7.9036193,16.135872,210.0685,231.34016,2022-11-02,4,Stockholm
8.415,0.0,0.0,1011.8,98.0,7.754637,15.629971,201.80147,231.54626,2022-11-02,5,Stockholm
8.065,0.0,0.0,1011.8,100.0,9.6932955,19.576189,195.06854,212.22873,2022-11-02,6,Stockholm
8.764999,0.0,0.0,1012.0,100.0,10.239453,20.46941,190.1246,203.86018,2022-11-02,7,Stockholm
9.764999,0.0,0.0,1012.2,100.0,10.137692,19.652176,196.50444,208.44283,2022-11-02,8,Stockholm
10.714999,0.0,0.0,1012.0,89.0,8.427383,16.263872,199.9832,207.69939,2022-11-02,9,Stockholm
11.714999,0.0,0.0,1011.6,44.0,9.565437,12.979984,199.79897,199.44012,2022-11-02,10,Stockholm
12.315,0.0,0.0,1011.4,57.0,10.308831,14.84318,192.09474,194.03627,2022-11-02,11,Stockholm
11.764999,0.0,0.0,1011.6,74.0,10.086427,17.015474,177.95464,186.07236,2022-11-02,12,Stockholm
11.514999,0.0,0.0,1011.1,100.0,10.08,17.935081,180.0,190.40765,2022-11-02,13,Stockholm
10.615,0.0,0.0,1010.9,100.0,11.183201,21.841648,176.30869,188.53069,2022-11-02,14,Stockholm
9.365,0.0,0.0,1010.9,100.0,11.367109,22.682856,169.04597,180.90936,2022-11-02,15,Stockholm
9.165,0.0,0.0,1010.8,100.0,13.276144,26.302181,167.4712,177.64676,2022-11-02,16,Stockholm
9.264999,0.0,0.0,1010.8,100.0,11.165805,22.530937,181.84756,192.926,2022-11-02,17,Stockholm
9.264999,0.1,0.0,1010.9,95.0,7.9526596,17.76081,185.19434,197.70052,2022-11-02,18,Stockholm
9.165,0.0,0.0,1011.1,100.0,8.557102,18.218275,194.62091,209.60435,2022-11-02,19,Stockholm
8.714999,0.4,0.0,1010.9,100.0,8.311245,17.782688,184.96965,201.37068,2022-11-02,20,Stockholm
8.464999,0.3,0.0,1011.0,100.0,7.8625183,16.992609,195.94547,216.38445,2022-11-02,21,Stockholm
7.965,0.0,0.0,1011.4,97.0,8.78872,19.008545,214.9921,232.69597,2022-11-02,22,Stockholm
7.315,0.0,0.0,1011.7,80.0,8.654987,19.770523,224.9999,236.88864,2022-11-02,23,Stockholm
7.165,0.0,0.0,1012.2,12.0,9.0,20.447239,233.13002,243.88614,2022-11-03,0,Stockholm
6.6150002,0.0,0.0,1012.6,4.0,9.290511,20.291357,234.46223,244.7989,2022-11-03,1,Stockholm
6.065,0.0,0.0,1012.7,3.0,9.504272,19.966211,232.69597,244.35904,2022-11-03,2,Stockholm
6.1150002,0.0,0.0,1013.1,85.0,10.587918,21.933426,234.6887,246.80138,2022-11-03,3,Stockholm
6.665,0.0,0.0,1013.3,100.0,9.220499,19.255793,231.34016,249.19313,2022-11-03,4,Stockholm
7.215,0.0,0.0,1013.6,100.0,9.0,17.782686,216.86998,238.24055,2022-11-03,5,Stockholm
7.465,0.0,0.0,1013.8,100.0,7.771331,15.021105,193.39252,224.02907,2022-11-03,6,Stockholm
7.515,0.0,0.0,1014.1,100.0,9.0,16.610792,196.26028,209.8988,2022-11-03,7,Stockholm
7.665,0.0,0.0,1014.7,25.0,10.948973,20.073025,207.40749,212.54999,2022-11-03,8,Stockholm
8.264999,0.0,0.0,1014.9,51.0,12.88981,22.545315,215.90982,218.51695,2022-11-03,9,Stockholm
9.165,0.0,0.0,1014.6,91.0,10.805998,14.8257065,209.98155,209.0545,2022-11-03,10,Stockholm
10.014999,0.0,0.0,1014.4,100.0,11.212135,16.454008,185.52745,190.08054,2022-11-03,11,Stockholm
9.815,0.0,0.0,1014.8,98.0,12.074766,19.296133,190.3048,194.03627,2022-11-03,12,Stockholm
9.915,0.0,0.0,1014.3,56.0,12.620554,22.461807,176.72958,186.4415,2022-11-03,13,Stockholm
9.115,0.0,0.0,1014.1,80.0,13.75558,25.671307,186.00891,194.62091,2022-11-03,14,Stockholm
8.065,0.0,0.0,1013.9,100.0,14.404499,27.466372,181.43207,190.57347,2022-11-03,15,Stockholm
8.065,0.0,0.0,1013.5,88.0,13.679999,27.288855,180.0,188.34381,2022-11-03,16,Stockholm
8.115,0.0,0.0,1013.2,46.0,13.397612,26.727423,173.82993,184.63538,2022-11-03,17,Stockholm
8.115,0.0,0.0,1013.3,52.0,14.154915,28.082308,172.69434,180.7345,2022-11-03,18,Stockholm
8.315,0.0,0.0,1013.5,95.0,14.77755,28.856194,177.20735,183.57626,2022-11-03,19,Stockholm
8.464999,0.0,0.0,1013.5,75.0,14.081478,27.381308,175.60138,182.26045,2022-11-03,20,Stockholm
8.315,0.0,0.0,1013.3,71.0,13.084402,25.919998,172.09293,180.0,2022-11-03,21,Stockholm
8.165,0.0,0.0,1013.3,32.0,13.138765,26.282465,170.53775,179.2152,2022-11-03,22,Stockholm
7.915,0.0,0.0,1013.1,26.0,12.57426,25.683926,166.75948,174.36942,2022-11-03,23,Stockholm
7.765,0.0,0.0,1013.3,10.0,13.979871,27.117346,168.11136,174.66794,2022-11-04,0,Stockholm
7.715,0.0,0.0,1013.2,84.0,13.627795,27.153164,167.79955,173.91156,2022-11-04,1,Stockholm
7.465,0.0,0.0,1013.1,56.0,12.849528,26.368616,168.69011,175.3014,2022-11-04,2,Stockholm
7.315,0.0,0.0,1013.0,100.0,12.661564,25.812277,165.17348,171.983,2022-11-04,3,Stockholm
7.3650002,0.0,0.0,1012.8,100.0,12.641076,25.932495,160.0168,166.34956,2022-11-04,4,Stockholm
7.565,0.0,0.0,1012.6,100.0,13.0447235,26.420174,152.02061,160.08351,2022-11-04,5,Stockholm
7.715,0.0,0.0,1012.7,100.0,14.277983,28.017622,146.3099,152.44728,2022-11-04,6,Stockholm
8.115,0.0,0.0,1012.8,100.0,14.88242,29.142216,147.84773,152.80196,2022-11-04,7,Stockholm
9.165,0.0,0.0,1012.9,100.0,17.10284,30.589407,149.65683,153.43501,2022-11-04,8,Stockholm
9.764999,0.0,0.0,1012.8,99.0,19.386593,32.527744,148.67137,152.30061,2022-11-04,9,Stockholm
9.915,0.0,0.0,1012.8,100.0,21.30093,33.672993,149.53453,151.24298,2022-11-04,10,Stockholm
10.014999,0.0,0.0,1012.8,71.0,21.578989,33.809345,152.15251,153.43501,2022-11-04,11,Stockholm
10.115,0.0,0.0,1013.0,32.0,21.120682,33.50128,150.37634,151.78275,2022-11-04,12,Stockholm
9.865,0.0,0.0,1012.7,100.0,19.083395,30.760519,144.21094,145.0079,2022-11-04,13,Stockholm
8.714999,0.0,0.0,1012.6,100.0,17.057314,30.04221,134.14499,135.97093,2022-11-04,14,Stockholm
7.815,0.0,0.0,1012.8,100.0,17.377226,31.336546,129.95749,132.67215,2022-11-04,15,Stockholm
